RATING,TITLE,VERIFIED,TEXT,DATE
1.0 out of 5 stars,Why is the price of the Switch on Amazon so high?,Verified Purchase,£499.99? Are you taking the p?ss?,Reviewed in the United Kingdom on 5 June 2020
5.0 out of 5 stars,What a console should be,Verified Purchase,"Much better than I was expecting. It is a great little console. No messing around - switch it on and start playing.Positives:Games load quickly, no messing around with installations, just plug in the game and start playing. This is why I moved to console gaming in the first place. If you have limited time for gaming you just want to switch on and play.You can take it with you - or if your significant other wants to watch the telly you can pick it up and play anyway. This is a much more important feature than I thought it would be, it is a complete game changer. I am taking it on a flight next week and actually looking forward to the flight.Breath of the wild - just wow, what a game!Negative - nit picking really:Joy con controller are not very good. I get the drift problem that people talk about, they are fine for using when out and about though. You can pick up good quality third party game controller for switch fairly cheaply - so not a major problem.The games are expensive compared to other consoles.Graphics not as good as other consoles; they are not terrible, just not as good as PS4 or Xbox 1. If you want cutting edge then the Switch is not for you. However I have a PS4 and a gaming laptop and I find myself playing the switch more often - graphics are not really the point of switch - it just gets out of the way and lets you play.",Reviewed in the United Kingdom on 21 February 2020
1.0 out of 5 stars,Deep tiny scratch on front screen of product,Verified Purchase,I brought this because it's lockdown to keep kids busy. Dissapointed because there's a tiny scratch on the front screen. For the money I paid I expected the product to be of high quality. Hopefully the provider will collect this one and replace it with a new one and make sure the products quality is checked before it's sent to me again.,Reviewed in the United Kingdom on 17 April 2020
5.0 out of 5 stars,"So far, it’s great",Verified Purchase,It only arrived this afternoon and Zelda: Breath of the Wild is very good but I have a long long way to go. I just logged onto the eshop and there lots and lots of cheap indie games for sale. I must have added at least 12 to my wish list. Totally new types of games. I can’t wait to play them all.Any niggles so far? Well it’s hard to turn it off and on. That power button is really tiny.Other than that so been plain sailing so far. I am really tempted to download Animal Crossing. I played original version on my GameCube what must be twenty plus years ago. It will be nice to see how things have changed. Here’s to years of great Switch gaming.,Reviewed in the United Kingdom on 26 June 2020
2.0 out of 5 stars,Frustrating & completely unintuitive,Verified Purchase,"I'm 43 with two young sons. I'm not a technophobe, though I can't pretend to be a gamer by any stretch of the imagination. My sons have been using an Xbox 360 for the last 6-9 months and love it. It's easy to use, intuitive and just works.This, however, is another story, and I'm already regretting my purchase (my sons are loving it, despite my exasperation, so doubt I'll tear it out of their hands, put it back in its box and request a refund!).Why? Well, first of all, you have to go through a 7 part process to simply connect the two controllers so they work independently (i.e. for two players, rather than together for one). With one game, once that process was done, it all worked OK (Lego Incredibles). However, when I then loaded in Lego City, and went through the same arduous process of pairing the controllers so both boys could play, it kept reverting to one player?! I've still no idea why, and there seems to be no obvious answer (though, I'd welcome the help, if someone can clarify!).There does indeed seem to be some basic design flaws too. To have your main console drop down onto a flimsy USB C connector is surely a recipe for disaster. And while I know I can be careful when docking, whether my 5 year old will be the same is another question.If anyone has any advice on any of the above (addressing some possible blindspots I may have), I'd welcome the feedback. But, if you're like me and just want a games console that's simple to use, I'd steer clear.",Reviewed in the United Kingdom on 26 December 2019
5.0 out of 5 stars,"Great Fun, and no regrets on the purchase",Verified Purchase,"Great fun... love playing on the tv as well as using as a handheld device. Mario Kart Is awesome and the wife is addicted to New Horizons. We got ours 1 week ago for £299, don't pay over the odds just keep an eye out as they do come back in stock directly with Amazon. Avoid greedy resellers selling well over the odds",Reviewed in the United Kingdom on 17 June 2020
5.0 out of 5 stars,Absolutely awesome best purchase in years !!,Verified Purchase,This is the first console I've had  since the 90s and it is awesome I'm 42 haven't gamed in years and bought this along with zelda breath of the wild and precious couldn't be happier. The console was easy to install and set up is very good quality and the fact you can use as a hand held device is awesome. I'm disabled and in an electric wheelchair I struggle to find things to do as I'm house bound and my disabilitys affect me greatly so this has been a absolutely wonderful experience I am totally hooked and timebflys it's a nice distraction from my chronic pain and has given me something other than reading or needle work in converted and I didn't think it was possible for me to be a gamer but I am now lol ! At first I was dying all the time couldn't get a grip with controls but after a few months I'm progressing well don't die anymore. I also purchased as pro controller from nintendo and that's awesome too and totally worth the money as I tried the cheap pro controller s and just wasted more money than just buying the Nintendo pro controller in the first place and Amazon have it 6 pounds cheaper than elsewhere I found my game play improved with the pro controller. This is a fantastic console even my friend that has a PlayStation got one as he loved the game play the simple way you can just take it out the cradle and you have hand held game to take away with you. I find it such a versatile console that suits my needs perfectly. It was easy to set up and easy to set the nintendo switch account to I'm not the most tech savvy person but I managed all of this myself very intuitive controls also can not say the fact you use the cons as individual controlles for two player games and use the screen as your TV is great .,Reviewed in the United Kingdom on 8 December 2020
5.0 out of 5 stars,Switch (newer model) review,Verified Purchase,"Amazing console. The handheld has a larger screen than I expected (previously owned a PS Vita) and it plays great. Although the screen is ""only"" 720p it really looks beautiful, playing Ori and the Blind Forest everything is sharp and detailed. I own a 4k TV so when docked it does look a little less sharp, but still fine. Great library of games that are a little different from hard-core games like COD etc, but this is the best thing about the console. Mario, Zelda, Japanese style games are the best there is, and there's some great updated games from the Wii U like mario Kart deluxe and Tokyo sessions.If you like playing games anywhere, on the bus or in bed or if someone is using the TV then this is for you!The price is quite high for a handheld £279.99 is the normal price, but the games and portability  justify the price.Great battery life on this newer model, it lasts over 7? hours playing some so no problems there.The dock is smaller that I expected and fits next to or behind the TV and takes up no room at all compared to the other consoles, ps4 pro and xbox.The console when docked feels a little loose, it doesn't ""click"" in when docked so don't move it around or mishandled it and you'll be fine.Other things to note- how do you know if you're getting the improved battery life version? It's the model number on the back of the switch, and also the box art. The model ends with a (-001) in brackets at the end which is the newer version, and the box art is Red coloured on the front.Overall brilliant console and a great way to enjoy gaming at home or anywhere. 5 star rating",Reviewed in the United Kingdom on 19 March 2020
5.0 out of 5 stars,A VERY happy child!,Verified Purchase,"7yo (almost 8) is in love with her switch.You pay approx £18.00 a year for “Nintendo Online” which isn’t that bad tbh.There are free games which can be downloaded or some games (like; the popular one of the moment, Among Us) is approx £3.Big games like your Mario Odessy can set you back £50+.Great that there is more than one function to play, on the tv or handheld.We bought it for our daughter but we’ve all ended up loving it and playing together as a family!Item came well packaged and very quickly.",Reviewed in the United Kingdom on 13 January 2021
5.0 out of 5 stars,Worth it's price and online services save you money 6 years makes it less costly overall,Verified Purchase,"Bought this because of having social anxiety issues, so having a console that's two in one helps, and the price to pay online is actually cheaper than the other consoles at war, a year for them is a full priced game, switch... £<20 so you could pay for three years for the price of the war locked others, think of how much savings you make for the three years value... It's a hundred quid roughly",Reviewed in the United Kingdom on 5 March 2020
5.0 out of 5 stars,"Worth the money, great birthday present",Verified Purchase,It definitely worth the money I bought it for. I bought on Black Friday last year so I have had the Nintendo switch for about 5 months and it has great quality on the screen very clear and easy to use and also you will have to step up an account first as well but it is easy to do. When you connect to the tv you do you get an HMI lead with and it comes with its plug and it's a docking station for the tv so it easy to step up and the quality on the tv is amazing it is really good quality for me. It come with everything include in the Nintendo switch box. Definitely would buy another one but on black Friday deals. I bought this Nintendo switch with 2021 just dance as a bundle.,Reviewed in the United Kingdom on 28 March 2021
3.0 out of 5 stars,Second hand switch for nearly £350 ?!?!,Verified Purchase,"Not going to lie the delivery process said it was going to take a while and it came it 2 days!!! I was a bit shocked at the price but I was desperate for one so I was willing to pay the price. When it came I was baffled because the box was small so I didn’t think it was the switch, when I inboxed it I immediately knew I had payed for a second hand switch, the joycons had scratches on the back and were dirty. The dock was dusty and dirty and had obvious signs of wear and tear. All in all it works but I had some trouble with it connecting to the internet as it would connect and disconnect randomly!  I’m just a bit annoyed that it was second hand and for nearly £350!! They’re cheaper brand new, but everywhere is out of stock :( I’m disappointed by what I got compared to the reviews as all the ones I saw came like they would brand new and it says nowhere in the description that second hand options are available only new ones so I would like to honestly know why I received a second hand one 🤷🏼‍♀️",Reviewed in the United Kingdom on 16 July 2020
5.0 out of 5 stars,Great console,TOP 500 REVIEWER|VINE VOICE|Verified Purchase,"I brought this for my son for Christmas this year I have taken it out the box to test and trial before wrapping up, Its very simple to set up and easy to do.You can play many games that are currently available to buy for the switch and also you can purchase the Nintendo switch online and enjoy competitive and co-operative online gaming in supported Nintendo Switch titles. You can also play a library of classic NES games anytime, anywhere with added online features along with saving your game date to the cloud, This is all with one subscription which you do have to buy separate.Overall this is a fantastic console and well worth the price.",Reviewed in the United Kingdom on 17 November 2020
1.0 out of 5 stars,Scam,Verified Purchase,"This is a scam. We bought this and it said it was delivered but it wasn't. They marked it ""delivered to mail room"" whatever that means but no Nintendo received and a very disappointed husband.",Reviewed in the United Kingdom on 14 April 2020
5.0 out of 5 stars,The best family gaming station!,Verified Purchase,"I'm too late to try this brilliant machine! I'm with my family are already in love with it! Unique, smooth and magnificent.Whatever the way we choose to play, either on the small or big screen, with joy cons or pro controller, it's always great fun.Beside the fact that it's fantastically nostalgic, it's also a brand new experience with excellent graphics, speed and sound. It also has a powerful battery and a really wide variety of games.I know that it's a real late review, but if I had the time before, I would've get it sooner. It really deserve the attention and can't think of a better family gaming station..!",Reviewed in the United Kingdom on 9 October 2020
